t,b
http://dbpedia.org/resource/12th_Planet_(musician),http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRedirects
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/1968_NCAA_University_Division_Men's_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRedirects
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/1973_NCAA_Division_I_Men's_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRedirects
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
